"0","74","353","2002-06-07 00:28:43"
"1","96","1514","1978-03-23 01:41:03"
"2","18","1047","1985-01-10 17:05:08"
"3","76","488","1977-05-14 05:09:31"
"4","67","823","1996-03-28 10:37:51"
"5","46","1581","1996-10-31 13:28:27"
"6","95","1382","1979-05-07 10:00:23"
"7","75","855","2016-12-14 17:06:40"
"8","95","1113","2019-06-06 07:47:15"
"9","53","1758","1973-02-22 05:23:57"
"10","79","1495","1982-11-10 13:16:58"
"11","79","106","1995-07-01 06:40:49"
"12","36","1530","2020-05-31 14:51:08"
"13","42","1852","2000-12-21 19:42:11"
"14","75","33","2006-10-03 16:51:20"
"15","9","258","2020-08-05 11:18:47"
"16","52","1076","1983-07-17 20:39:57"
"17","43","1858","1999-06-17 15:38:54"
"18","33","1642","2009-02-20 22:39:07"
"19","92","665","1997-03-02 01:21:18"
"20","1","810","2008-02-22 05:26:50"
"21","94","580","2000-01-11 16:30:21"
"22","74","398","2003-03-16 07:30:33"
"23","26","86","1992-06-11 23:22:31"
"24","92","1583","1970-07-19 21:57:56"
"25","87","391","1998-01-14 05:01:07"
"26","75","664","1981-12-07 00:48:46"
"27","8","1986","1973-07-24 09:55:24"
"28","7","805","2013-08-14 04:50:26"
"29","42","1829","2007-06-13 06:57:45"
"30","42","1515","1996-09-04 16:03:30"
"31","21","1445","1987-12-04 20:43:15"
"32","79","1912","2012-02-16 05:53:21"
"33","43","660","1998-06-27 01:54:27"
"34","98","1856","1989-11-10 07:43:56"
"35","14","1573","2011-05-19 14:37:01"
"36","77","526","1980-01-11 12:35:59"
"37","90","1231","1984-04-20 15:48:33"
"38","98","1760","2018-03-13 16:36:16"
"39","26","664","2004-12-17 01:15:26"
"40","89","1636","2004-01-21 08:01:11"
"41","75","1273","2016-07-13 17:03:38"
"42","37","867","1995-08-14 15:18:14"
"43","62","411","1972-02-15 01:06:23"
"44","14","1047","2019-10-09 22:19:38"
"45","69","763","1996-06-27 01:57:33"
"46","60","818","2010-04-07 11:24:37"
"47","53","1719","1994-05-28 22:32:16"
"48","6","1966","2009-04-01 17:12:16"
"49","67","387","2018-10-03 09:27:17"
"50","0","598","1979-04-08 15:20:05"
"51","18","75","1996-11-03 14:16:33"
"52","93","1174","2018-06-02 07:10:17"
"53","63","1252","1985-08-06 04:58:51"
