"27","Easy"
"27","Like short"
"27","General exist"
"27","Quality"
"27","Fall"
"27","Security claim"
"27","Phone"
"27","Including"
"27","Join term"
"27","Guy"
"27","Explain body"
"27","Traditional since"
"27","Low"
"27","Admit perform"
"78","Republican"
"78","Gun often"
"78","Southern"
"78","Sport"
"78","Hear college"
"78","Hand"
"78","Result television"
"78","Move"
"78","Season"
"78","Down"
"78","Choice"
"78","Plan"
"78","Work"
"78","Either"
"78","Minute"
"78","Body"
"78","Process in"
"78","Street"
"78","Past upon"
"78","Entire arm"
"84","Election bad"
"84","Kitchen"
"84","Day"
"84","Mother science"
"84","Top set"
"84","Energy actually"
"84","President edge"
"84","Toward"
"84","Player two"
"89","Year line"
"89","Room Mr"
"89","Want"
"89","Much"
"89","Great"
"89","Region meeting"
"89","Child poor"
"89","Quickly memory"
"89","Vote story"
"89","Live"
"89","He"
"89","Trial space"
"89","Only although"
"89","Several"
"43","When develop"
"43","Like clear"
"43","Even begin"
"43","Keep simply"
"43","Every family"
"43","Change"
"43","Believe democratic"
"2","Whether"
"8","Nothing"
"8","Model"
"8","Very all"
"8","Rather community"
"8","Bit moment"
"8","Interview them"
"8","Cut"
"8","Six"
"8","Nothing economy"
"8","Collection"
"8","Such"
"86","Mouth"
"86","Picture everybody"
"86","Rather"
"86","Seat"
"86","Reach agree"
"86","Three"
"86","Set"
"86","Bill"
"86","Cause American"
"86","Executive"
"86","Range"
"86","Agency finish"
"37","Keep reduce"
"37","Positive relationship"
"37","Begin force"
"37","Free"
"37","Education head"
"37","Reach"
"37","Talk our"
"37","Modern marriage"
"37","Rather contain"
"37","Eat interesting"
"37","Song"
"37","Try himself"
"37","Game"
"37","Create"
"37","As"
"49","More"
"49","Nature"
"49","Real decade"
"49","Deep natural"
"49","End red"
"49","Ever"
"49","Develop baby"
"49","Medical son"
"49","Cup"
"49","Good clear"
"49","Thousand truth"
"49","Network trouble"
"49","Us"
"63","Consumer"
"63","Street"
"63","Difficult beat"
"63","Animal phone"
"63","Body"
"63","Form"
"63","Water"
"85","Sound"
"85","Person at"
"85","Cause"
"85","Article officer"
"85","Republican"
"85","Suffer unit"
"83","Manager"
"83","Difficult"
"83","Participant PM"
"83","Lawyer"
"83","On"
"83","Ready"
"83","View"
"83","Republican"
"83","Establish"
"83","Investment"
"83","Sign"
"83","So"
"83","Everyone"
"83","War"
"83","Win move"
"83","Few"
"83","Shoulder few"
"83","Pick send"
"83","Meet beat"
"65","Region do"
"65","Candidate"
"65","Only member"
"65","Teach task"
"65","Both student"
"65","Themselves"
"65","Significant sister"
"65","Hair"
"65","Not"
"65","Place"
"65","Whether then"
"65","Usually contain"
"65","Magazine"
"65","Air"
"65","People"
"18","Strong work"
"18","Issue"
"18","Pressure local"
"18","Value simple"
"18","Debate test"
"18","Else she"
"18","What"
"18","Child ball"
"18","Field office"
"18","Rock"
"58","Your"
"58","Hear those"
"58","Finish exactly"
"58","Tv issue"
"58","Understand civil"
"58","Base"
"58","Create"
"58","Speak"
"58","Small"
"58","Above"
"58","Visit reduce"
"58","Couple check"
"58","Factor open"
"58","Everybody several"
"58","Assume"
"58","Often"
"58","Together"
"58","Explain"
"58","Somebody discussion"
"45","Plan"
"45","Cultural"
"45","Man especially"
"45","Southern will"
"45","Measure conference"
"45","Work second"
"45","Support"
"45","Authority"
"45","Let"
"45","Those"
"45","Either"
"45","Yes"
"45","Even country"
"45","Technology may"
"45","Just I"
"45","Significant stay"
"45","Interest would"
"45","Main"
"64","Small prepare"
"64","History difficult"
"64","Would"
"64","Society street"
"64","Candidate person"
"64","Throughout administration"
"64","Finish minute"
"21","Her"
"21","Create"
"21","Case actually"
"21","She environment"
"21","Activity"
"21","Scene"
"21","Have"
"21","Protect all"
"21","Standard"
"21","Store"
"21","Personal establish"
"21","Relationship happen"
"21","Scene"
"21","President claim"
"21","Early"
"21","Weight for"
"21","Like"
"21","Style house"
"21","Low"
"6","Since"
"6","Notice"
"6","Sport"
"6","Build"
"6","Language sit"
"6","Suffer"
"6","Feel usually"
"6","Success compare"
"6","Something"
"6","Western threat"
"6","Along"
"6","Try say"
"6","Actually"
"40","Care"
"40","Arrive race"
"4","Interesting speak"
"4","Trial set"
"4","Maintain"
"4","Find southern"
"4","Hold"
"4","Nor actually"
"4","Success"
"4","Manager national"
"4","However"
"4","Force relationship"
"4","This"
"4","Throughout"
"4","Sense"
"4","Story western"
"75","Expert civil"
"75","Position"
"75","National"
"75","By participant"
"75","Able"
"75","Business"
"75","Rather push"
"75","Heart"
"53","Politics country"
"53","Way blue"
"53","Star"
"53","Article"
"53","Send"
"53","Large"
"53","Share"
"53","Religious run"
"53","Win"
"53","Despite"
"1","Cost including"
"1","Cold thought"
"1","Stuff"
"1","Business song"
"1","Parent us"
"1","Whatever"
"1","Collection why"
"1","Successful born"
"1","Eye enjoy"
"1","Happen"
"1","Land"
"1","Perform"
"1","Fill"
"1","Throw power"
"1","Pick"
"1","Himself"
"1","Section property"
"1","Could beat"
"94","Strong"
"94","Medical"
"94","Center wait"
"94","Window central"
"94","Mission production"
"94","Indeed"
"94","Last however"
"94","Bag"
"94","Cost"
"94","Hour century"
"94","Project"
"94","Prepare old"
"94","Science animal"
"94","Size"
"94","Among budget"
"5","Bag seven"
"5","President can"
"5","Year"
"5","President page"
"5","Would"
"5","Gun control"
"5","Husband"
"5","Available these"
"5","Inside billion"
"5","Class"
"5","Material think"
"5","Fish"
"5","Include"
"5","Message"
"5","Detail rich"
"5","Opportunity"
"5","American"
"92","Everybody time"
"92","Write"
"92","Open inside"
"92","Least rise"
"92","Occur street"
"92","Government"
"92","It"
"92","We"
"92","Eye"
"92","Reveal"
"92","Cold short"
"80","Table"
"80","Take technology"
"80","Whatever other"
"80","Behind environment"
"80","Physical"
"80","Too"
"80","Democrat traditional"
"80","American"
"80","Service"
"80","Everyone consumer"
"80","Choose quality"
"80","Customer go"
"80","Environment former"
"80","Difficult easy"
"80","Maintain"
"80","Mouth"
"80","Shake station"
"80","When"
"80","Dog"
"80","Learn young"
"47","What his"
"47","Everyone"
"47","Later moment"
"47","Family machine"
"47","Go that"
"47","Other key"
"47","Break ahead"
"47","Environmental how"
"47","Marriage"
"95","Without"
"95","In"
