"0","930","Father ago kitchen tax throw","42.89","Canned Goods","Trader Joes","10"
"0","1848","Moment yard site world choice","39.84","Baked Goods","Whole Foods","12"
"0","1002","Direction service ask","5.86","Meat","Trader Joes","12"
"1","1305","Accept popular line stage","13.65","Canned Goods","Whole Foods","8"
"1","1959","Also reach","50.39","Produce","Trader Joes","1"
"1","426","Citizen to produce list","46.36","Sauces","Harris Teeters","1"
"1","116","Beat drop step","9.52","Canned Goods","Whole Foods","9"
"2","451","Or which white get","7.98","Prepared Food","Harris Teeters","2"
"2","44","Subject wish gas look","44.63","Produce","Trader Joes","17"
"2","1383","Conference service","50.73","Pantry","Trader Joes","3"
"2","307","While door statement","47.46","Baking","Whole Foods","8"
"2","1646","Station theory stop","12.66","Frozen Food","Whole Foods","4"
"3","1363","High poor energy","35.28","Beverages","Harris Teeters","13"
"3","834","Born baby culture power","43.86","Cheese","Trader Joes","14"
"3","767","Allow must point great tonight","37.60","Baking","Trader Joes","1"
"3","1871","National black","40.45","Prepared Food","Trader Joes","10"
"3","1318","And again","14.64","Prepared Food","Trader Joes","14"
"3","1667","Less understand skill bit","21.80","Meat","Trader Joes","14"
"3","430","Hard far","3.00","Canned Goods","Trader Joes","11"
"3","975","Force art culture protect","46.00","Cheese","Trader Joes","13"
"3","1011","Enough American over road","50.44","Cheese","Whole Foods","13"
"3","570","Hundred owner nation","7.40","Prepared Food","Harris Teeters","18"
"3","480","Place strong parent","6.36","Seafood","Whole Foods","2"
"3","1604","Tree yet","37.46","Seafood","Harris Teeters","1"
"3","374","Meet floor","46.09","Canned Goods","Trader Joes","6"
"3","728","Compare peace style","5.36","Pantry","Whole Foods","13"
"3","422","Interesting when","19.08","Prepared Food","Harris Teeters","20"
"3","268","As year look floor","46.03","Canned Goods","Harris Teeters","12"
"4","1702","Political though side than tonight","15.91","Pantry","Whole Foods","1"
"4","1969","Majority executive common","6.33","Prepared Food","Trader Joes","5"
"5","1480","Five idea authority position recently","50.95","Bread","Trader Joes","12"
"5","1998","Television bad year board director","29.81","Prepared Food","Trader Joes","19"
"5","529","Manage probably minute","36.94","Frozen Food","Harris Teeters","9"
"5","77","Law live religious","16.16","Pantry","Harris Teeters","5"
"5","388","Or century","33.27","Canned Goods","Whole Foods","8"
"5","1168","Teach note word be","17.17","Cheese","Whole Foods","3"
"5","985","Record produce cause","17.57","Meat","Harris Teeters","4"
"5","1494","Sit today","7.29","Cheese","Trader Joes","12"
"5","46","South yard beautiful space","12.95","Frozen Food","Trader Joes","1"
"5","748","Set offer","41.92","Meat","Whole Foods","11"
"5","401","Everything buy protect","21.00","Cheese","Whole Foods","17"
"6","541","Result every war something book","36.63","Beverages","Trader Joes","3"
"6","1808","Sort read","47.31","Baked Goods","Whole Foods","10"
"6","1759","Behind coach nearly their","17.26","Produce","Trader Joes","16"
"6","182","Sort couple hold group","7.03","Meat","Trader Joes","19"
"6","194","Particularly sing purpose here ago","27.72","Canned Goods","Trader Joes","6"
"6","1519","Born by easy finally","11.35","Bread","Trader Joes","5"
"7","469","You half side","42.96","Baking","Harris Teeters","20"
"7","197","Trouble drive loss","37.08","Baking","Whole Foods","1"
"7","832","Enough suddenly office","50.72","Frozen Food","Trader Joes","11"
"7","23","Bring TV program","0.60","Pantry","Whole Foods","16"
"7","1941","Often as I remain enter","45.04","Seafood","Trader Joes","19"
"7","1891","Assume become reduce right","15.12","Prepared Food","Harris Teeters","13"
"7","1065","Everybody think American","48.04","Baking","Trader Joes","18"
"7","1583","Front decade remain up","39.07","Cheese","Whole Foods","18"
"7","1968","Open describe practice series","19.40","Prepared Food","Whole Foods","12"
"7","449","Accept sometimes city","11.51","Sauces","Trader Joes","18"
"7","60","Medical effort assume","16.38","Produce","Trader Joes","7"
"7","1662","According paper discover place","22.05","Produce","Whole Foods","8"
"7","1069","Today method know not","41.96","Baked Goods","Whole Foods","3"
"7","734","Practice town billion painting","39.05","Produce","Trader Joes","14"
"7","470","Identify degree individual environment","31.55","Seafood","Whole Foods","18"
"7","261","Remain decide happy another","25.26","Produce","Trader Joes","19"
"8","508","Under entire society","20.21","Seafood","Trader Joes","6"
"8","95","Mission decision black western myself","47.99","Pantry","Whole Foods","14"
"8","1935","Actually senior oil bar","36.26","Produce","Whole Foods","16"
"8","1791","Black must picture man believe","6.87","Sauces","Trader Joes","17"
"8","1355","Past if race","47.10","Baked Goods","Trader Joes","9"
"9","69","Away and various main too","33.85","Prepared Food","Trader Joes","17"
"9","259","Newspaper ground just keep","42.40","Frozen Food","Trader Joes","12"
"9","929","Experience sense find physical","21.22","Prepared Food","Whole Foods","3"
"9","1137","Floor very mother","45.24","Produce","Whole Foods","18"
"9","31","Sense this manager fine level","26.24","Cheese","Trader Joes","19"
"9","1724","Fast country girl","32.12","Produce","Trader Joes","2"
"10","1125","Onto control nearly evidence something","44.63","Baked Goods","Harris Teeters","4"
"10","643","Trade different draw","2.91","Produce","Harris Teeters","7"
"10","183","Computer pattern","41.01","Bread","Trader Joes","9"
"10","1956","Six hope investment who","15.07","Dairy & Eggs","Harris Teeters","7"
"10","58","Wrong section town deal movement","38.53","Beverages","Trader Joes","6"
"10","863","Class game may","48.30","Baking","Trader Joes","7"
"10","1069","Today method know not","41.96","Baked Goods","Whole Foods","4"
"10","1150","Case case","4.57","Dairy & Eggs","Trader Joes","8"
"10","671","Per east actually","45.03","Dairy & Eggs","Whole Foods","19"
"10","195","Two hair describe","25.09","Produce","Whole Foods","18"
"10","255","Could foreign mind myself surface","37.55","Dairy & Eggs","Harris Teeters","8"
"10","181","Top series public none sound","26.23","Baked Goods","Trader Joes","13"
"10","1244","Institution agency which","26.18","Dairy & Eggs","Harris Teeters","9"
"10","1259","Stuff back anything leg","37.10","Meat","Whole Foods","12"
"10","986","Practice century go east","1.32","Canned Goods","Harris Teeters","5"
"11","841","Drive economic or question exist","24.43","Baking","Trader Joes","11"
"11","820","Size worry TV particular I","19.73","Seafood","Whole Foods","15"
"11","682","Woman at kid box","46.12","Seafood","Harris Teeters","12"
"11","818","Matter police anyone including painting","29.05","Prepared Food","Whole Foods","2"
"11","1712","Policy shoulder research daughter live","19.44","Seafood","Whole Foods","7"
"11","44","Subject wish gas look","44.63","Produce","Trader Joes","13"
"11","1760","Score but talk job southern","7.57","Baked Goods","Trader Joes","20"
"12","939","Have need eye","5.57","Dairy & Eggs","Trader Joes","3"
"12","442","Couple break provide drug","25.98","Cheese","Trader Joes","6"
"12","146","Significant now","16.87","Sauces","Trader Joes","7"
"12","116","Beat drop step","9.52","Canned Goods","Whole Foods","9"
"12","1234","Report nearly help them","45.09","Meat","Whole Foods","20"
"12","9","Something first drug contain start","2.78","Sauces","Whole Foods","14"
"12","675","Else help item","28.62","Seafood","Harris Teeters","6"
"12","1382","Low fact nature brother on","1.25","Canned Goods","Whole Foods","6"
"12","220","Lose big","32.62","Sauces","Whole Foods","9"
"12","1334","Learn expect","21.59","Pantry","Trader Joes","9"
"12","705","Quality information citizen without","34.37","Sauces","Whole Foods","20"
"12","1830","Man parent","21.52","Prepared Food","Trader Joes","11"
"12","694","Government choice before Democrat","2.50","Frozen Food","Trader Joes","11"
"12","1925","Friend follow career bad fine","19.05","Frozen Food","Trader Joes","17"
"12","822","Operation walk according","39.44","Frozen Food","Trader Joes","5"
"13","1292","Person administration reflect history talk","17.32","Meat","Whole Foods","6"
"13","510","Unit operation foreign loss","31.38","Bread","Whole Foods","3"
"13","279","Mention get last","26.64","Seafood","Harris Teeters","6"
"13","759","Power management sell","31.82","Seafood","Whole Foods","1"
"14","176","Arm bar military able simple","6.54","Produce","Whole Foods","5"
"14","545","Box people point month","50.23","Baked Goods","Harris Teeters","12"
"14","680","Painting mother anything","14.03","Pantry","Trader Joes","17"
"14","316","Provide parent information call","42.99","Beverages","Trader Joes","20"
"14","1533","Again former fine dinner near","21.42","Prepared Food","Whole Foods","7"
